route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
013,1,"013","Gare Koumassi - Gare Nord",,3,,942974,
022,1,"022","Gare Nord - Entente Treichville",,3,,AD398B,
029,1,"029","Centre Bus Port-Bouët - Gare Nord",,3,,03FC84,
002,1,"002","Cité Fairmont - Gare Marcory",,3,,800080,
081,1,"081","Gare Nord -cocody Angré",,3,,FC03CA,
083,1,"083","Gare Nord - Riviera Sogefiha",,3,,FC03CA,
717,1,"717","Anani- Ecole de police",,3,,F5AA42,
011,1,"011","Mesano - Gare Nord",,3,,34EBD8,
024,1,"024","Koumassi-Nord-Est - CPMA",,3,,03FC84,
730,1,"730","Moossou Bassam- Treichville",,3,,FC034A,
003,1,"003","Gare Nord  - Terminus dje bi dje",,3,,800080,
005,1,"005","Koumassi-Nord-Est - Cité Administrative",,3,,800080,
025,1,"025","Koumassi Sicogi - Hotel de Ville",,3,,03FC84,
033,1,"033","Gare Koumassi - Gare Sud",,3,,F58D42,
028,1,"028","Gare Sud - Riviera Sogefiha",,3,,03FC84,
092,1,"092","Koumassi nord -est   - Gare Nord",,3,,0380FC,
713,1,"713","Abobo gendarmerie  - Grd Carrefour Kouma",,3,,F5AA42,
716,1,"716","Palmeraie RIV3  - Grd Carrefour Koumassi",,3,,F5AA42,
032,1,"032","Akromiambla - Commissariat Port",,3,,F58D42,
050,1,"050","Koumassi Sicogi- Gare Nord",,3,,0380FC,
056,1,"056","Gare Campus Cocody – Koumassi Nord Est",,3,,0380FC,
082,1,"082","Gare Sud - cocody Angré",,3,,FC03CA,
712,1,"712","St André Yopougon – Grd Carrefour Koumas",,3,,F5AA42,
715,1,"715","Sococe 2PLTX  - Grd Carrefour Koumassi",,3,,F5AA42,
006,1,"006","Aéroport  - Gare Sud",,3,,800080,
007,1,"007","Gare Marcory - Vridi Cité",,3,,800080,
009,1,"009","VITIB Bassam- Terminus PIERRE MARIE CURI",,3,,800080,
012,1,"012","Terminus 012 Panneau - Gare Nord",,3,,34EBD8,
004,1,"004"," Attécoubé - Gare  Marcory",,3,,800080,
018,1,"018","Gare Sud - Centre Pilote Port-Bouët",,3,,34EBD8,
019,1,"019","Gare Nord - Vridi Iran",,3,,34EBD8,
021,1,"021","Ecole de Police - CHU Treichville",,3,,03FC84,
023,1,"023","Gare Koumassi - Vridi Canal",,3,,03FC84,
035,1,"035","Gobélé - Gare Nord",,3,,F58D42,
041,1,"041","Liberté adjame  - M'pouto",,3,,03FCFC,
053,1,"053","Gare Campus Cocody –  ANANI",,3,,0380FC,
008,1,"008","Abobo Akeikoi  - Gare Nord",,3,,800080,
059,1,"059","CHU Treichville - Gare Nord",,3,,0380FC,
