stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1131101,,"Arrêt ANADOR A","",5.408231,-4.016317,,,0,AF001,,,
1131100,,"Arrêt ANADOR R","",5.408956,-4.016064,,,0,AF001,,,
1131500,,"Abobo Gendarmerie","",5.426531,-4.019892,,,0,AF005,,,
1131600,,"Arret Mouton ANADOR  R","",5.4048,-4.0174,,,0,AF006,,,
1131601,,"Arret Mouton ANADOR A","",5.406097,-4.017,,,0,AF006,,,
1131700,,"Arret Chateau FILTISAC R","",5.3957,-4.020697,,,0,AF007,,,
1131701,,"Arret Chateau FILTISAC A","",5.3956,-4.021097,,,0,AF007,,,
1133000,,"Eglise Universelle Sagbe R","",5.415278,-4.024078,,,0,AH003,,,
1133001,,"Eglise Universelle Sagbe A","",5.414994,-4.023986,,,0,AH003,,,
1133100,,"21e Arrondissement R","",5.419894,-4.023964,,,0,AH004,,,
1133101,,"21e Arrondissement A","",5.419653,-4.023864,,,0,AH004,,,
1133200,,"Epp Agnikro Bad R","",5.424792,-4.023242,,,0,AH005,,,
1133201,,"Epp Agnikro BAD A","",5.424989,-4.022544,,,0,AH005,,,
1137100,,"43e BIMA R","",5.258517,-3.958028,,,0,BA019,,,
1137101,,"43e BIMA A","",5.258553,-3.958461,,,0,BA019,,,
1137300,,"Carrefour Akwaba A","",5.268992,-3.961861,,,0,BA021,,,
1137301,,"Carrefour Akwaba R","",5.266442,-3.962733,,,0,BA021,,,
1139000,,"Lycée Moderne de Port-Bouet A","",5.256125,-3.957858,,,0,BE001,,,
1139001,,"Lycée Moderne Port-Bouet R","",5.255958,-3.957744,,,0,BE001,,,
1139100,,"Parmacie Ocean A","",5.256889,-3.961219,,,0,BE002,,,
1139101,,"Pharmacie Ocean R","",5.2567,-3.961083,,,0,BE002,,,
1139200,,"Marche Port-Bouet A","",5.257542,-3.96405,,,0,BE003,,,
1139201,,"Marché Port-Bouet R","",5.257433,-3.963919,,,0,BE003,,,
1139300,,"Mairie Port-Bouet A","",5.258714,-3.965733,,,0,BE004,,,
1139301,,"Mairie Port-Bouet R","",5.258494,-3.965739,,,0,BE004,,,
1139400,,"EPP Selmer A","",5.257397,-3.970094,,,0,BE005,,,
1139401,,"EPP Selmer R","",5.257456,-3.969783,,,0,BE005,,,
1139600,,"Epp Petit Bassam A","",5.256917,-3.977508,,,0,BE007,,,
1139601,,"EPP Petit Bassam R","",5.256731,-3.97735,,,0,BE007,,,
1140000,,"SODECI Vridi Cité R","",5.259631,-3.981908,,,0,BH001,,,
1140001,,"SODECI Vridi Cité A","",5.259469,-3.981764,,,0,BH001,,,
1140100,,"Pharmacie Vridi SIR R","",5.262264,-3.982517,,,0,BH002,,,
1140101,,"Pharmacie Vridi SIR A","",5.262433,-3.982589,,,0,BH002,,,
1140201,,"Foyer Polyvalent R","",5.264639,-3.984969,,,0,BH003,,,
1140200,,"Foyer Polyvalent A","",5.264433,-3.984942,,,0,BH003,,,
1140300,,"Terminus 53","",5.266639,-3.987333,,,0,BH004,,,
1140400,,"SIB Vridi Cité","",5.258325,-3.982283,,,0,BI001,,,
1140500,,"CIE Vridi Cité A","",5.257925,-3.984431,,,0,BI002,,,
1140501,,"CIE Vridi Cité R","",5.257853,-3.984128,,,0,BI002,,,
1140600,,"Arrêt SIR A","",5.256189,-3.995183,,,0,BI003,,,
1140601,,"Arrêt SIR R","",5.256114,-3.994786,,,0,BI003,,,
1140800,,"Vridi Iran A","",5.257497,-3.997586,,,0,BI005,,,
1140801,,"Vridi Iran R","",5.257144,-3.997622,,,0,BI005,,,
1140900,,"GESTOCI R","",5.264967,-3.999944,,,0,BI006,,,
1140901,,"GESTOCI A","",5.264706,-3.999944,,,0,BI006,,,
1141000,,"CPMA R","",5.267814,-4.00315,,,0,BI007,,,
1141001,,"CPMA A","",5.267775,-4.003325,,,0,BI007,,,
1141100,,"Pont de Vridi R","",5.270503,-4.006039,,,0,BI008,,,
1141101,,"Pont de Vridi A","",5.270597,-4.006306,,,0,BI008,,,
1143100,,"CERAO R","",5.384839,-3.992978,,,0,CA009,,,
1143101,,"CERAO A","",5.385019,-3.993192,,,0,CA009,,,
1143200,,"Las PALMAS R","",5.381408,-3.993528,,,0,CA010,,,
1143201,,"Las PALMAS A","",5.381208,-3.994064,,,0,CA010,,,
1143300,,"Carrefour Duncan R","",5.378753,-3.996039,,,0,CA011,,,
1143301,,"Carrefour Duncan A","",5.377492,-3.9978,,,0,CA011,,,
1143400,,"Carrefour Gobelet R","",5.375556,-3.998278,,,0,CA012,,,
1143401,,"Carrefour Gobelet A","",5.375289,-3.998581,,,0,CA012,,,
1143500,,"SOCOCE 2 Pltx R","",5.372569,-3.998283,,,0,CA013,,,
1143501,,"SOCOCE 2 Pltx A","",5.371878,-3.998419,,,0,CA013,,,
1143600,,"Station Mobile R","",5.367678,-3.998031,,,0,CA014,,,
1143601,,"Station Mobile A","",5.367564,-3.998314,,,0,CA014,,,
1143700,,"Farandole R","",5.365383,-3.997306,,,0,CA015,,,
1143701,,"Farandole A","",5.36495,-3.997581,,,0,CA015,,,
1143800,,"ENA R","",5.361378,-3.997306,,,0,CA016,,,
1143801,,"ENA A","",5.360883,-3.997764,,,0,CA016,,,
1143900,,"Eglise St Jacques R","",5.357389,-4.001139,,,0,CA017,,,
1143901,,"Eglise St Jacques A","",5.357894,-4.001328,,,0,CA017,,,
1144000,,"Hotel palm club","",5.352658,-4.001778,,,0,CA018,,,
1144001,,"Cite CNPS","",5.3518,-4.002181,,,0,CA018,,,
1144100,,"Carrefour RTI A","",5.345014,-4.002953,,,0,CA019,,,
1144101,,"Carrefour RTI R","",5.344381,-4.002694,,,0,CA019,,,
1144200,,"RTI R","",5.340367,-4.003247,,,0,CA020,,,
