trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1707_2_service_1,026,service_1,Gare Koumassi,"",0,block_1,shape_570,
1708_2_service_1,026,service_1,Gare Nord,"",1,block_1,shape_569,
1709_2_service_1,026,service_1,Gare Koumassi,"",0,block_1,shape_570,
1710_2_service_1,026,service_1,Gare Nord,"",1,block_1,shape_569,
1711_2_service_1,026,service_1,Gare Koumassi,"",0,block_1,shape_570,
1712_2_service_1,026,service_1,Gare Nord,"",1,block_1,shape_569,
1713_2_service_1,026,service_1,Gare Koumassi,"",0,block_1,shape_570,
1714_2_service_1,026,service_1,Gare Nord,"",1,block_1,shape_569,
1715_2_service_1,026,service_1,Gare Koumassi,"",0,block_1,shape_570,
1716_2_service_1,026,service_1,Gare Nord,"",1,block_1,shape_569,
1717_2_service_1,026,service_1,Gare Koumassi,"",0,block_1,shape_570,
1718_2_service_1,026,service_1,Gare Nord,"",1,block_1,shape_569,
5364_2_service_1,729,service_1,Ogood food,"",0,block_51,shape_1795,
5365_2_service_1,729,service_1,Mosquee Koweit,"",1,block_51,shape_1794,
5366_2_service_1,729,service_1,Ogood food,"",0,block_51,shape_1795,
5367_2_service_1,729,service_1,Mosquee Koweit,"",1,block_51,shape_1794,
200001483_3_service_2,308,service_2,BK TERMINUS BELLE VILLE,"",1,block_58,shape_1290,
200001484_3_service_2,308,service_2,BK TERMINUS  BROUKRO,"",0,block_58,shape_1289,
200001485_3_service_2,308,service_2,BK TERMINUS BELLE VILLE,"",1,block_58,shape_1290,
200001584_3_service_2,308,service_2,BK TERMINUS  BROUKRO,"",0,block_58,shape_1289,
200001585_3_service_2,308,service_2,BK TERMINUS BELLE VILLE,"",1,block_58,shape_1290,
200001586_3_service_2,308,service_2,BK TERMINUS  BROUKRO,"",0,block_58,shape_1289,
200001587_3_service_2,308,service_2,BK TERMINUS BELLE VILLE,"",1,block_58,shape_1290,
200001588_3_service_2,308,service_2,BK TERMINUS  BROUKRO,"",0,block_58,shape_1289,
200001491_3_service_2,308,service_2,BK TERMINUS BELLE VILLE,"",1,block_58,shape_1290,
500002927_3_service_2,308,service_2,BK TERMINUS  BROUKRO,"",0,block_58,shape_1289,
200001493_3_service_2,308,service_2,BK TERMINUS BELLE VILLE,"",1,block_58,shape_1290,
500002929_3_service_2,308,service_2,BK TERMINUS  BROUKRO,"",0,block_58,shape_1289,
200001495_3_service_2,308,service_2,BK TERMINUS BELLE VILLE,"",1,block_58,shape_1290,
500002930_3_service_2,308,service_2,BK TERMINUS  BROUKRO,"",0,block_58,shape_1289,
